CompanyID,CompanyName,Unit,Rate,Location
MFRVH,"Dougherty, Wang and Butler",5,189.36,East Jesseville
ME9N3,"Lutz, Foster and Black",4,946.29,West Dale
0TTU1,"Garcia, Parker and Castro",217,202.68,Bennettview
GPESJ,"Klein, Miles and Graves",56,709.78,Heathermouth
SYF75,Chase-Reynolds,186,699.45,New David
5JO8S,Glenn-Bass,212,320.98,South Donaldberg
GSWNF,Rogers-Rogers,419,310.89,Ronaldstad
ZK3HN,Mccarty Group,351,929.59,East Stephanieside
2RBGN,"Irwin, Adams and Jones",120,227.77,Dorothyside
4UEPI,Cook Ltd,434,105.37,Stephenshaven
4B2O3,"Evans, Johnson and Molina",313,816.27,Hahnshire
YFRJB,Glover-Bradley,491,639.24,New Jaclyn
6LFTJ,Ortiz Ltd,384,620.72,East Rebecca
QW1X2,"Craig, Levy and Parker",265,391.74,East Tonya
E43UE,Rose-Bowers,455,325.44,North Noahborough
BWE4Q,Gregory-Cooley,244,670.53,Greenport
99IVF,Green LLC,273,634.91,Andrewville
Y2EVF,Randolph-Brady,169,148.91,East Sarah
1643C,Potter-Harris,411,58.16,Vanessachester
GA27W,Hicks-Mullen,16,535.82,West Elizabeth
WNPU0,Roberts Group,341,34.63,New Adamberg
9HE1T,Proctor-Williams,55,699.15,Lake Sarah
4W9KD,Anderson-Hodges,201,824.44,New Aprilmouth
I4HHX,"Lawson, Phillips and Mitchell",218,921.33,West Crystalfurt
6NDVI,Merritt-Smith,147,656.92,Edwardsland
IPD9R,"Schultz, Stanley and Knight",354,300.49,South Jameschester
FLMH2,"Wagner, Armstrong and Long",442,967.1,New Kimberly
VLBYU,Gilbert Ltd,362,357.71,Parkerville
EANFS,Moreno-Robinson,204,559.44,Denisehaven
WV8LQ,Jimenez-Rush,303,957.99,Lake Anthony
7V368,"Elliott, Guzman and Kerr",196,313.05,New Karaville
2LNYE,"Harris, Marks and Padilla",66,805.95,North Nicole
40778,"Russo, Fletcher and Dawson",77,373.98,New Lisa
4H3C2,Durham Inc,468,773.94,Johnhaven
TJENV,Roberson-Johnson,285,149.27,Zimmermanburgh
0QEMG,Williams-Hall,363,194.97,New Vincent
17QW1,Cantu and Sons,148,613.41,Sarahshire
CD48U,Collins and Sons,416,788.95,Lake Heather
I27TT,Ellis PLC,111,736.68,East Kimberlyview
21TB5,"Salazar, Flores and Jones",69,15.69,South Linda
P7MTS,Ruiz Group,254,734.59,Webbtown
5EA1G,"Lester, Nash and Brown",404,554.91,Lake Charlesside
C5IW8,"Smith, Taylor and Zimmerman",340,294.7,Port Eric
QAZ2Z,Proctor-Pratt,155,705.27,East Michael
QAXDZ,Clark-Brown,352,307.72,Ellisside
0I430,Thomas-Torres,356,279.03,New Nicoleside
3TJPL,Martin Inc,262,740.11,Villanuevaborough
V6YNH,Robertson Inc,239,445.61,Whitetown
566ZV,"Gonzalez, Jones and Morton",112,796.26,Lake Troyview
TI2XJ,Carroll PLC,192,980.61,Toddbury
VE8AK,"Orozco, Leon and Tapia",18,716.9,Garciamouth
P71C4,Thompson-Estrada,498,536.67,Lewisport
XNJPV,Lewis-Hunt,204,226.19,Krauseview
BK14A,Haley Group,306,203.42,West Katie
WOA2V,Nelson-Barrett,51,719.23,Pamelachester
GLYWW,"Owen, Taylor and Bowers",180,431.66,Port Barbarastad
VHKK0,Turner-Navarro,281,85.37,East Monicaton
XH4CO,"Ho, Brown and Quinn",17,918.9,Kimberlybury
Z9HL4,Taylor-Edwards,279,128.25,Brownton
UBI7K,Glass-Dunlap,54,28.4,West Timothy
7WBTP,Fuller-Price,436,119.94,East Patrickborough
B7FWL,Everett and Sons,110,792.08,Lake Rita
YOHRN,"Winters, Henry and Small",184,616.18,North Kevinhaven
G3TUS,Weaver LLC,40,959.52,Wilsonburgh
VY97M,Horn-Church,395,381.01,Cherryton
FP5OZ,Stephenson-Norton,478,524.04,Rogerview
7QKM2,Oconnell-Greene,194,163.06,New Christinafort
8ZKEM,Simmons PLC,140,773.41,South Crystalfort
8A284,"Martinez, Bryant and Ramos",350,633.17,South Christopher
4DPVK,Harvey-Harris,323,46.16,Palmermouth
U7CYF,"Williams, Moore and Navarro",484,738.47,Morganmouth
PJO93,"Chapman, Finley and Fry",243,751.98,Fernandezmouth
A30VP,Carr Group,111,936.75,Spencerberg
5IWNO,Bell-Acosta,55,316.38,Michaelside
IXLCK,Rose Inc,56,940.56,Chaneyfort
BTIG0,"Foster, Smith and Miller",341,744.11,Port Patriciamouth
0YRXO,Larsen Group,157,99.39,Victorside
C2Y9K,"Adams, Guzman and Gordon",141,121.42,Kimberg
3NK4N,"Mason, Aguilar and Miller",222,832.37,New Tylerview
6SQ7Y,Webb and Sons,153,136.33,South Lauratown
HUPWX,Morris Group,431,884.26,South Samantha
LLYG2,Collins PLC,209,974.18,North Jonathan
X3G1R,Villegas Inc,455,439,Lake Katherineshire
WECJM,Burns Ltd,2,302.66,South Heidi
P30VK,"Baker, Dawson and Williams",304,834.97,New Savannahville
Y7454,Blackwell Inc,275,654.97,Jonathanton
COF7E,"Lee, Keller and Chavez",378,495.06,West Juliestad
PPL4Q,Payne Inc,304,813.01,North Franciscostad
L8OAD,Barber and Sons,26,876.56,Nguyenmouth
ZWHN7,"Benton, Silva and Ellis",331,304.03,Tylerchester
83N8W,"Miller, Massey and Hammond",8,29.38,Port Catherineville
VR2U9,"Webb, Evans and Snyder",8,827.06,South Teresa
3OXGG,Bradley-Powell,474,783.28,West Adam
OOFAF,"Mcguire, Perry and Sanders",217,501.51,South Brandonshire
D1A1V,Russell Group,258,443.48,Thomasberg
WHW08,Johnson-Holmes,137,895.42,Lopezland
E5Q33,Zimmerman-Gomez,261,707.1,Thompsonburgh
Y6URG,Black-Armstrong,195,620.75,Chelseyhaven
W32HV,James Group,447,780.09,Anthonyville
XDJFD,Blankenship PLC,359,811.55,Edwinview
